"","Predictor","Estimate","StdError","PValue","FDR","logFDR"
"Alanine","Alanine",0.091331887113145,0.142645539719609,0.521996044721015,0.669641940286916,0.174157353902533
"Arginine","Arginine",-0.275664877172658,0.165949502668971,0.096685912932996,0.21508526518498,0.667389340742459
"Asparagine","Asparagine",-0.487198446989563,0.162332986524293,0.00268892371850829,0.0125974234483539,1.89971827207189
"Aspartate","Aspartate",-0.199770188799153,0.136853992630561,0.144363670422543,0.277072161742148,0.557407106874245
"Asymmetric_dimethylarginine","Asymmetric_dimethylarginine",-0.014337988302858,0.139086302501647,0.917893930327455,0.962835830624204,0.0164477564185801
"Citrulline","Citrulline",-0.208106588733306,0.160515940202518,0.194808272969436,0.338195072870798,0.470832723883787
"Creatinine","Creatinine",-0.0793089095548445,0.149921014342307,0.596802243441464,0.726357178850465,0.138849766823312
"Dihydroxyphenylalanine","Dihydroxyphenylalanine",-0.212840772613456,0.122555428898848,0.0824419257122408,0.190507693199908,0.72008748168492
"Glutamate","Glutamate",0.684159165766697,0.186463360754288,0.000243372938148613,0.0026010482764633,2.58485158705555
"Glutamine","Glutamine",0.0977998663474268,0.148968714963402,0.511494242415472,0.664266879204463,0.177657401235004
"Glycine","Glycine",-0.657596696211955,0.175116916434638,0.000173212387891422,0.00219402357995801,2.65875870921773
"Histidine","Histidine",-0.152169651076601,0.155741384585673,0.328536353539756,0.48289366184169,0.316148494838304
"Kynurenine","Kynurenine",0.29867899764554,0.13662314611661,0.0288044687233142,0.0792520323771545,1.10098959171127
"Leucine_Isoleucine","Leucine_Isoleucine",0.154806944084655,0.150643896168164,0.304121541919313,0.463826446083338,0.333644492738517
"Lysine","Lysine",0.0416032323913946,0.144559851999923,0.773505625420601,0.858892610044953,0.066061133934144
"Methionine","Methionine",-0.57809058268372,0.173233428592583,0.000846692500037607,0.00603268406276795,2.21948941849088
"Methionine_sulfoxide","Methionine_sulfoxide",-0.665957055145546,0.178550249010126,0.00019163038693336,0.00234062829754319,2.63066754877369
"Ornithine","Ornithine",-0.188113404108402,0.144993567345673,0.194496557694656,0.338195072870798,0.470832723883787
"Phenylalanine","Phenylalanine",0.197983394994621,0.153152104926931,0.19610654912954,0.338729493951024,0.470146986696066
"Proline","Proline",0.0667479999230646,0.144542351601653,0.644232977753853,0.762379510006289,0.117828784472017
"Putrescine","Putrescine",-0.013634090611568,0.143756537632174,0.924440695847655,0.962835830624204,0.0164477564185801
"Sarcosine","Sarcosine",0.805826101954508,0.204162912518466,7.91445093937045e-05,0.00117684444402813,2.92928093865604
"Serine","Serine",-0.605167574417259,0.165900572400817,0.000264523520316243,0.00274142557418651,2.56202354009925
"Serotonin","Serotonin",-0.382045809776572,0.149248348638359,0.0104732645454735,0.034775305578174,1.45872904507907
"Spermidine","Spermidine",-0.343371820177631,0.146697145449859,0.0192483952007995,0.0572430535536819,1.24227720743946
"Spermine","Spermine",-0.16864709010953,0.124107237985335,0.174183987788993,0.316866616084231,0.49912351408874
"Symmetric_dimethylarginine","Symmetric_dimethylarginine",0.0536750245421682,0.139520841532258,0.700452489419213,0.801186459469468,0.0962663991530303
"Taurine","Taurine",-0.272526531813937,0.136972740493294,0.0466305353575865,0.118130689572552,0.927637260891499
"Threonine","Threonine",-0.427941443535804,0.149954152771358,0.00431976487870655,0.017380701041384,1.75993271049584
"trans_4_Hydroxyproline","trans_4_Hydroxyproline",-0.219732125659045,0.129491027231436,0.0897173181092126,0.203200813200998,0.692074558356625
"Tryptophan","Tryptophan",-0.13683149318909,0.150717750144781,0.363949120286251,0.516475515095011,0.286950262549358
"Tyrosine","Tyrosine",0.373839125240925,0.139618694968168,0.00741578852659494,0.0269808476180369,1.56894441085189
